URLID,Frame,Time
20230201_142729 (1),00000.jpg,0.00
20230201_142729 (1),00001.jpg,0.25
20230201_142729 (1),00002.jpg,0.51
20230201_142729 (1),00003.jpg,0.76
20230201_142729 (1),00004.jpg,1.01
20230201_142729 (1),00005.jpg,1.27
20230201_142729 (1),00006.jpg,1.52
20230201_142729 (1),00007.jpg,1.77
20230201_142729 (1),00008.jpg,2.03
20230201_142729 (1),00009.jpg,2.28
20230201_142729 (1),00010.jpg,2.53
20230201_142729 (1),00011.jpg,2.79
20230201_142729 (1),00012.jpg,3.04
20230201_142729 (1),00013.jpg,3.29
20230201_142729 (1),00014.jpg,3.55
20230201_142729 (1),00015.jpg,3.80
20230201_142729 (1),00016.jpg,4.05
20230201_142729 (1),00017.jpg,4.31
20230201_142729 (1),00018.jpg,4.56
20230201_142729 (1),00019.jpg,4.81
20230201_142729 (1),00020.jpg,5.07
20230201_142729 (1),00021.jpg,5.32
20230201_142729 (1),00022.jpg,5.57
20230201_142729 (1),00023.jpg,5.83
20230201_142729 (1),00024.jpg,6.08
20230201_142729 (1),00025.jpg,6.33
20230201_142729 (1),00026.jpg,6.59
20230201_142729 (1),00027.jpg,6.84
20230201_142729 (1),00028.jpg,7.09
20230201_142729 (1),00029.jpg,7.35
20230201_142729 (1),00030.jpg,7.60
20230201_142729 (1),00031.jpg,7.85
20230201_142729 (1),00032.jpg,8.11
20230201_142729 (1),00033.jpg,8.36
20230201_142729 (1),00034.jpg,8.61
20230201_142729 (1),00035.jpg,8.87
20230201_142729 (1),00036.jpg,9.12
20230201_142729 (1),00037.jpg,9.37
20230201_142729 (1),00038.jpg,9.63
20230201_142729 (1),00039.jpg,9.88
20230201_142729 (1),00040.jpg,10.13
20230201_142729 (1),00041.jpg,10.39
20230201_142729 (1),00042.jpg,10.64
20230201_142729 (1),00043.jpg,10.89
20230201_142729 (1),00044.jpg,11.15
20230201_142729 (1),00045.jpg,11.40
20230201_142729 (1),00046.jpg,11.65
20230201_142729 (1),00047.jpg,11.91
20230201_142729 (1),00048.jpg,12.16
20230201_142729 (1),00049.jpg,12.41
20230201_142729 (1),00050.jpg,12.67
20230201_142729 (1),00051.jpg,12.92
20230201_142729 (1),00052.jpg,13.17
20230201_142729 (1),00053.jpg,13.43
20230201_142729 (1),00054.jpg,13.68
20230201_142729 (1),00055.jpg,13.93
20230201_142729 (1),00056.jpg,14.19
20230201_142729 (1),00057.jpg,14.44
20230201_142729 (1),00058.jpg,14.69
20230201_142729 (1),00059.jpg,14.94
20230201_142729 (1),00060.jpg,15.20
20230201_142729 (1),00061.jpg,15.45
20230201_142729 (1),00062.jpg,15.70
20230201_142729 (1),00063.jpg,15.96
20230201_142729 (1),00064.jpg,16.21
20230201_142729 (1),00065.jpg,16.46
20230201_142729 (1),00066.jpg,16.72
20230201_142729 (1),00067.jpg,16.97
20230201_142729 (1),00068.jpg,17.22
